time,down,up,rnti_count,mcs_down,mcs_down_var,mcs_up,mcs_up_var,rb_down,rb_down_var,rb_up,rb_up_var,District,Cluster_Feature
3/28/2018 15:56,174876888,1856888,10229,15.33229815,87.15768837702974,14.981496960486323,49.98948412698413,0.029681167,4.497697614787348e-08,0.000540667,3.143297486772487e-08,ElBorn,2
3/28/2018 15:58,209054184,2866200,12223,15.116845640448696,87.19216817421469,16.43261249,62.49467016164264,0.035971417,4.615534989061512e-08,0.000852333,4.439639781746032e-08,ElBorn,2
3/28/2018 16:00,191464640,1935360,11152,15.21573915815136,87.22795521584536,15.885238095238096,63.087006802721085,0.032749833,4.646103690757475e-08,0.000607333,2.9935954365079376e-08,ElBorn,2
3/28/2018 16:02,241515688,2991152,14040,15.135399916063156,86.19950120688374,15.714660077867624,77.18745882000599,0.041371833,4.532152982161788e-08,0.000925417,5.382562896825397e-08,ElBorn,2
3/28/2018 16:04,264131088,3288816,15247,15.18894380446886,86.15111909425433,15.414080086580086,69.11856060606061,0.045073833,4.6555426053488575e-08,0.00102075,5.9221777777777784e-08,ElBorn,2
3/28/2018 16:06,240364288,2857792,14032,15.329625745541325,87.16637554492281,16.129249311294764,73.75906434474616,0.040981417,4.6490739061148985e-08,0.000882083,4.272734550865801e-08,ElBorn,2
3/28/2018 16:08,209567808,1892888,12261,15.011034459034564,88.63394666259191,14.133555555555557,57.31601587301588,0.035828917,4.6230733472450384e-08,0.000652833,3.2920061838624335e-08,ElBorn,2
3/28/2018 16:10,235478872,2317632,13744,15.0901509,86.31189427559823,15.414675122385404,65.58465732087228,0.040342083,4.636574941269703e-08,0.00071625,4.1819500992063496e-08,ElBorn,2
3/28/2018 16:12,211470032,2305304,12271,15.094138301493077,87.38631141581101,15.378388577653284,63.93788126361656,0.036106667,4.6064594351549966e-08,0.000757833,3.441218088624338e-08,ElBorn,2
3/28/2018 16:14,209997304,2193936,12303,15.146158895537717,86.95822359,14.84233193277311,56.13314270152505,0.03607775,4.711435054790142e-08,0.000697333,3.6680870039682535e-08,ElBorn,2
3/28/2018 16:16,209190704,2551856,12238,15.225310502951134,86.27367375040504,15.49243827160494,58.43805114638448,0.03586525,4.5625753974037417e-08,0.00076775,3.6667319444444447e-08,ElBorn,2
3/28/2018 16:18,205107305,2012688,12020,15.19744020978711,87.43751814,13.977253968253969,58.1728254,0.03523,4.6341203723837524e-08,0.000669667,4.1009884920634926e-08,ElBorn,2
